Wavelength/nm,(NEA)2PbI4,Curve1
487.742,0.05541,
491.06,0.05683,
495.04,0.06037,
496.765,0.06108,
498.888,0.06356,
504.329,0.06569,
505.125,0.06605,
509.238,0.06923,
510.565,0.06994,
513.618,0.06995,
516.139,0.07278,
519.722,0.07385,
522.508,0.07598,
526.357,0.07598,
528.347,0.07634,
530.338,0.07564,
532.859,0.07918,
534.584,0.07883,
536.31,0.07848,
537.504,0.07777,
538.699,0.07742,
540.026,0.07742,
541.752,0.0746,
543.477,0.07531,
546.263,0.07814,
546.795,0.07461,
549.98,0.07461,
552.104,0.07391,
553.166,0.07391,
554.493,0.0732,
557.148,0.07144,
559.271,0.07003,
561.13,0.06827,
562.192,0.06756,
563.254,0.0665,
564.316,0.06615,
